PlantID,Region,Status,Type
90641,L48,N,Native
90668,CAN,N,Native
90668,L48,N,Native
90529,L48,N,Native
25163,AK,N,Native
25163,CAN,N,Native
25163,L48,N,Native
73177,AK,N,Native
73177,CAN,N,Native
73177,L48,N,Native
39136,L48,N,Native
39150,CAN,N,Native
39150,L48,N,Native
39154,CAN,N,Native
39154,L48,N,Native
65626,CAN,N,Native
65626,L48,N,Native
46333,CAN,N,Native
46333,L48,N,Native
46345,L48,N,Native
25216,AK,I,Introduced
25216,AK,N,Native
25216,CAN,I,Introduced
25216,GL,I,Introduced
25216,L48,I,Introduced
25216,L48,N,Native
25216,SPM,I,Introduced
46359,CAN,N,Native
46359,L48,N,Native
73178,AK,N,Native
73178,CAN,N,Native
73178,L48,N,Native
65665,AK,N,Native
65665,CAN,N,Native
65665,L48,N,Native
46373,CAN,N,Native
46373,L48,N,Native
46363,CAN,N,Native
46363,L48,N,Native
65658,CAN,N,Native
65658,L48,N,Native
65679,AK,N,Native
65679,CAN,N,Native
65679,L48,N,Native
65679,SPM,N,Native
65688,CAN,N,Native
65688,L48,N,Native
65697,AK,N,Native
65697,CAN,N,Native
65697,GL,N,Native
65697,L48,N,Native
65697,SPM,N,Native
70188,CAN,N,Native
70188,L48,N,Native
70435,CAN,N,Native
70435,L48,N,Native
70245,CAN,N,Native
70245,L48,N,Native
